企业名称,销售区域,产品名称,销售数量,原价,销售价格,销售额,净利率,销售日期
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,116,350,735.0,85260.0,0.52,2024-03-04
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,152,250,500.0,76000.0,0.5,2024-01-19
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,61,250,500.0,30500.0,0.5,2024-02-06
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,20,300,570.0,11400.0,0.47,2024-01-06
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,132,300,570.0,75240.0,0.47,2024-03-09
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,110,200,360.0,39600.0,0.44,2024-10-31
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,100,250,500.0,50000.0,0.5,2024-05-30
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,37,250,500.0,18500.0,0.5,2024-09-14
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,108,150,225.0,24300.0,0.33,2024-12-21
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,178,250,500.0,89000.0,0.5,2024-05-12
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,138,250,500.0,69000.0,0.5,2024-07-03
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,157,250,500.0,78500.0,0.5,2024-05-11
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,103,350,735.0,75705.0,0.52,2024-08-18
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,107,400,920.0,98440.0,0.57,2024-06-07
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,61,350,735.0,44835.0,0.52,2024-12-06
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,71,450,1125.0,79875.0,0.6,2024-03-10
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,35,200,360.0,12600.0,0.44,2024-03-05
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,161,200,360.0,57960.0,0.44,2024-08-16
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,127,150,225.0,28575.0,0.33,2024-01-30
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,43,450,1125.0,48375.0,0.6,2024-06-10
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,81,300,570.0,46170.0,0.47,2024-06-16
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,76,250,500.0,38000.0,0.5,2024-01-02
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,125,350,735.0,91875.0,0.52,2024-04-08
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,188,350,735.0,138180.0,0.52,2024-01-29
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,199,350,735.0,146265.0,0.52,2024-10-05
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,44,350,735.0,32340.0,0.52,2024-05-16
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,73,300,570.0,41610.0,0.47,2024-12-19
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,97,400,920.0,89240.0,0.57,2024-04-09
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,17,450,1125.0,19125.0,0.6,2024-04-05
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,92,200,360.0,33120.0,0.44,2024-10-13
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,147,300,570.0,83790.0,0.47,2024-04-09
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,169,350,735.0,124215.0,0.52,2024-04-27
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,143,150,225.0,32175.0,0.33,2024-08-12
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,80,200,360.0,28800.0,0.44,2024-01-20
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,98,150,225.0,22050.0,0.33,2024-08-04
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,175,450,1125.0,196875.0,0.6,2024-09-12
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,159,350,735.0,116865.0,0.52,2024-07-11
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,193,450,1125.0,217125.0,0.6,2024-08-27
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,190,300,570.0,108300.0,0.47,2024-06-29
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,132,250,500.0,66000.0,0.5,2024-07-20
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,170,200,360.0,61200.0,0.44,2024-05-30
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,131,400,920.0,120520.0,0.57,2024-10-22
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,170,350,735.0,124950.0,0.52,2024-07-20
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,173,300,570.0,98610.0,0.47,2024-09-15
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,73,400,920.0,67160.0,0.57,2024-12-17
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,176,200,360.0,63360.0,0.44,2024-05-02
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,62,250,500.0,31000.0,0.5,2024-08-23
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,30,150,225.0,6750.0,0.33,2024-07-29
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,196,400,920.0,180320.0,0.57,2024-09-08
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,45,450,1125.0,50625.0,0.6,2024-04-02
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,36,200,360.0,12960.0,0.44,2024-12-13
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,104,200,360.0,37440.0,0.44,2024-08-10
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,52,200,360.0,18720.0,0.44,2024-02-17
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,116,350,735.0,85260.0,0.52,2024-04-26
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,181,450,1125.0,203625.0,0.6,2024-11-02
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,35,300,570.0,19950.0,0.47,2024-07-25
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,100,200,360.0,36000.0,0.44,2024-05-21
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,42,350,735.0,30870.0,0.52,2024-04-27
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,68,200,360.0,24480.0,0.44,2024-11-03
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,144,200,360.0,51840.0,0.44,2024-10-20
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,193,400,920.0,177560.0,0.57,2024-09-24
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,97,300,570.0,55290.0,0.47,2024-06-01
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,133,350,735.0,97755.0,0.52,2024-11-19
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,155,350,735.0,113925.0,0.52,2024-09-25
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,175,400,920.0,161000.0,0.57,2024-06-15
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,184,350,735.0,135240.0,0.52,2024-09-03
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,10,200,360.0,3600.0,0.44,2024-04-09
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,10,300,570.0,5700.0,0.47,2024-07-24
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,138,350,735.0,101430.0,0.52,2024-08-29
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,81,250,500.0,40500.0,0.5,2024-07-11
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,125,350,735.0,91875.0,0.52,2024-10-28
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,34,350,735.0,24990.0,0.52,2024-09-04
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,74,400,920.0,68080.0,0.57,2024-01-11
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,70,400,920.0,64400.0,0.57,2024-04-24
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,182,350,735.0,133770.0,0.52,2024-07-17
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,143,200,360.0,51480.0,0.44,2024-06-06
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,152,450,1125.0,171000.0,0.6,2024-02-06
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,176,300,570.0,100320.0,0.47,2024-07-01
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,20,200,360.0,7200.0,0.44,2024-02-13
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,153,150,225.0,34425.0,0.33,2024-07-08
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,27,350,735.0,19845.0,0.52,2024-12-03
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,157,150,225.0,35325.0,0.33,2024-09-05
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,166,400,920.0,152720.0,0.57,2024-06-20
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,161,150,225.0,36225.0,0.33,2024-05-12
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,119,150,225.0,26775.0,0.33,2024-08-24
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,137,450,1125.0,154125.0,0.6,2024-03-23
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,144,150,225.0,32400.0,0.33,2024-08-30
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,196,300,570.0,111720.0,0.47,2024-10-17
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,139,450,1125.0,156375.0,0.6,2024-12-10
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,138,350,735.0,101430.0,0.52,2024-05-06
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,108,350,735.0,79380.0,0.52,2024-10-26
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,64,250,500.0,32000.0,0.5,2024-01-10
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,198,200,360.0,71280.0,0.44,2024-07-21
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,116,250,500.0,58000.0,0.5,2024-05-21
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,23,150,225.0,5175.0,0.33,2024-03-31
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,171,200,360.0,61560.0,0.44,2024-05-24
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,107,300,570.0,60990.0,0.47,2024-07-04
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,119,250,500.0,59500.0,0.5,2024-01-20
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,106,200,360.0,38160.0,0.44,2024-01-08
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,76,250,500.0,38000.0,0.5,2024-03-29
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,56,350,735.0,41160.0,0.52,2024-03-11
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,182,250,500.0,91000.0,0.5,2024-06-07
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,97,450,1125.0,109125.0,0.6,2024-10-12
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,28,300,570.0,15960.0,0.47,2024-07-28
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,94,350,735.0,69090.0,0.52,2024-05-15
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,36,150,225.0,8100.0,0.33,2024-11-20
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,103,400,920.0,94760.0,0.57,2024-10-12
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,100,400,920.0,92000.0,0.57,2024-09-21
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,150,150,225.0,33750.0,0.33,2024-11-20
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,195,250,500.0,97500.0,0.5,2024-11-23
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,177,350,735.0,130095.0,0.52,2024-09-04
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,141,400,920.0,129720.0,0.57,2024-06-19
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,192,350,735.0,141120.0,0.52,2024-07-24
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,178,400,920.0,163760.0,0.57,2024-10-14
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,177,200,360.0,63720.0,0.44,2024-01-30
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,66,250,500.0,33000.0,0.5,2024-07-30
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,194,250,500.0,97000.0,0.5,2024-01-23
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,113,400,920.0,103960.0,0.57,2024-05-25
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,173,300,570.0,98610.0,0.47,2024-07-03
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,117,250,500.0,58500.0,0.5,2024-02-25
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,21,150,225.0,4725.0,0.33,2024-11-25
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,131,250,500.0,65500.0,0.5,2024-09-16
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,187,450,1125.0,210375.0,0.6,2024-04-24
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,17,200,360.0,6120.0,0.44,2024-01-14
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,110,450,1125.0,123750.0,0.6,2024-02-22
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,133,400,920.0,122360.0,0.57,2024-11-16
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,178,150,225.0,40050.0,0.33,2024-03-11
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,174,250,500.0,87000.0,0.5,2024-11-14
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,62,350,735.0,45570.0,0.52,2024-03-06
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,125,150,225.0,28125.0,0.33,2024-02-13
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,154,250,500.0,77000.0,0.5,2024-02-10
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,42,250,500.0,21000.0,0.5,2024-09-22
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,178,400,920.0,163760.0,0.57,2024-10-02
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,121,200,360.0,43560.0,0.44,2024-08-21
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,50,400,920.0,46000.0,0.57,2024-01-01
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,38,250,500.0,19000.0,0.5,2024-04-01
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,52,400,920.0,47840.0,0.57,2024-09-23
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,21,200,360.0,7560.0,0.44,2024-01-04
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,57,300,570.0,32490.0,0.47,2024-04-30
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,51,250,500.0,25500.0,0.5,2024-01-26
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,81,150,225.0,18225.0,0.33,2024-03-31
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,84,300,570.0,47880.0,0.47,2024-10-28
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,63,400,920.0,57960.0,0.57,2024-01-15
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,56,250,500.0,28000.0,0.5,2024-03-17
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,56,350,735.0,41160.0,0.52,2024-04-08
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,61,200,360.0,21960.0,0.44,2024-12-11
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,23,450,1125.0,25875.0,0.6,2024-10-09
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,34,150,225.0,7650.0,0.33,2024-04-19
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,153,150,225.0,34425.0,0.33,2024-08-27
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,38,250,500.0,19000.0,0.5,2024-06-23
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,190,150,225.0,42750.0,0.33,2024-07-18
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,137,250,500.0,68500.0,0.5,2024-03-18
铜仁玻璃有限公司,贵州省铜仁市,钢化玻璃,158,200,360.0,56880.0,0.44,2024-01-15
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,176,150,225.0,39600.0,0.33,2024-01-04
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,194,400,920.0,178480.0,0.57,2024-01-24
铜仁玻璃有限公司,贵州省铜仁市,夹层玻璃,120,350,735.0,88200.0,0.52,2024-05-26
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,71,150,225.0,15975.0,0.33,2024-01-31
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,200,450,1125.0,225000.0,0.6,2024-03-22
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,124,150,225.0,27900.0,0.33,2024-08-04
铜仁玻璃有限公司,贵州省铜仁市,双层玻璃,147,400,920.0,135240.0,0.57,2024-08-04
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,171,450,1125.0,192375.0,0.6,2024-04-09
铜仁玻璃有限公司,贵州省铜仁市,彩色玻璃,172,300,570.0,98040.0,0.47,2024-04-27
铜仁玻璃有限公司,贵州省铜仁市,单片玻璃,48,150,225.0,10800.0,0.33,2024-12-12
铜仁玻璃有限公司,贵州省铜仁市,低辐射玻璃,120,450,1125.0,135000.0,0.6,2024-10-20
铜仁玻璃有限公司,贵州省铜仁市,隔热玻璃,121,250,500.0,60500.0,0.5,2024-11-16
