订单ID,客户ID,产品名称,销售数量,单价,销售日期,销售区域,总金额
ORD1032,CUST169,玻璃打磨,14,982,2024-07-05,华北,13748
ORD1046,CUST191,玻璃抛光,62,889,2024-02-10,西南,55118
ORD1008,CUST184,玻璃打磨,50,104,2024-09-18,华北,5200
ORD1053,CUST121,玻璃抛光,12,180,2024-08-05,西南,2160
ORD1004,CUST116,玻璃切割,65,481,2024-12-30,华南,31265
ORD1061,CUST194,玻璃雕刻,31,487,2024-03-27,华南,15097
ORD1076,CUST171,玻璃抛光,65,278,2024-05-20,华东,18070
ORD1023,CUST146,玻璃雕刻,39,641,2024-05-03,华南,24999
ORD1001,CUST106,玻璃抛光,92,693,2024-08-01,华东,63756
ORD1063,CUST155,玻璃雕刻,57,281,2024-08-21,东北,16017
ORD1034,CUST172,玻璃切割,94,792,2024-06-14,西南,74448
ORD1031,CUST126,玻璃雕刻,95,205,2024-08-02,华东,19475
ORD1046,CUST119,玻璃切割,79,296,2024-02-16,华南,23384
ORD1073,CUST162,玻璃打磨,87,820,2024-03-08,西南,71340
ORD1006,CUST121,玻璃抛光,34,391,2024-04-21,东北,13294
ORD1093,CUST185,玻璃抛光,41,386,2024-03-12,华北,15826
ORD1067,CUST189,玻璃切割,1,903,2024-07-04,华北,903
ORD1069,CUST166,玻璃打磨,39,303,2024-03-09,华北,11817
ORD1080,CUST157,玻璃打磨,23,566,2024-12-20,华北,13018
ORD1023,CUST163,玻璃打磨,35,525,2024-06-06,华南,18375
ORD1090,CUST184,玻璃切割,3,395,2024-09-18,华北,1185
ORD1027,CUST140,玻璃抛光,27,917,2024-05-12,华北,24759
ORD1085,CUST117,玻璃雕刻,14,378,2024-04-05,西南,5292
ORD1020,CUST105,玻璃雕刻,29,736,2024-07-16,西南,21344
ORD1068,CUST107,玻璃打磨,9,129,2024-01-27,华东,1161
ORD1038,CUST196,玻璃切割,96,205,2024-09-03,东北,19680
ORD1013,CUST187,玻璃雕刻,30,249,2024-04-12,东北,7470
ORD1091,CUST151,玻璃雕刻,73,663,2024-07-02,华南,48399
ORD1086,CUST114,玻璃抛光,45,459,2024-08-14,华南,20655
ORD1036,CUST177,玻璃打磨,20,894,2024-01-31,东北,17880
ORD1091,CUST169,玻璃抛光,29,980,2024-01-19,华东,28420
ORD1052,CUST103,玻璃雕刻,91,328,2024-08-03,华南,29848
ORD1010,CUST101,玻璃打磨,70,256,2024-10-16,华东,17920
ORD1051,CUST198,玻璃抛光,91,864,2024-08-29,华北,78624
ORD1068,CUST107,玻璃切割,42,134,2024-05-17,华东,5628
ORD1038,CUST189,玻璃雕刻,80,646,2025-01-01,华南,51680
ORD1065,CUST137,玻璃雕刻,13,602,2024-12-08,东北,7826
ORD1069,CUST193,玻璃切割,68,575,2024-09-17,西南,39100
ORD1072,CUST134,玻璃切割,68,931,2024-06-14,东北,63308
ORD1072,CUST197,玻璃雕刻,14,246,2024-11-28,华南,3444
ORD1026,CUST112,玻璃雕刻,55,169,2024-07-22,西南,9295
ORD1015,CUST149,玻璃抛光,84,579,2024-09-11,东北,48636
ORD1024,CUST184,玻璃雕刻,91,669,2024-02-28,华北,60879
ORD1013,CUST130,玻璃打磨,61,772,2024-06-22,华东,47092
ORD1052,CUST103,玻璃雕刻,24,125,2024-04-16,华北,3000
ORD1027,CUST115,玻璃抛光,12,543,2024-08-19,华北,6516
ORD1076,CUST152,玻璃切割,3,732,2024-06-20,华南,2196
ORD1065,CUST147,玻璃抛光,78,233,2024-07-17,东北,18174
ORD1012,CUST181,玻璃雕刻,25,482,2024-05-08,华北,12050
ORD1035,CUST172,玻璃切割,99,897,2024-01-07,华北,88803
ORD1012,CUST104,玻璃打磨,59,942,2024-02-29,华南,55578
ORD1002,CUST175,玻璃雕刻,65,983,2024-11-28,华南,63895
ORD1044,CUST165,玻璃雕刻,84,598,2024-06-03,华南,50232
ORD1033,CUST196,玻璃抛光,69,433,2024-09-16,东北,29877
ORD1015,CUST150,玻璃切割,59,640,2024-03-27,华东,37760
ORD1065,CUST101,玻璃抛光,42,375,2025-01-01,华南,15750
ORD1061,CUST129,玻璃切割,48,621,2024-01-28,东北,29808
ORD1074,CUST175,玻璃打磨,61,515,2024-04-22,华东,31415
ORD1080,CUST153,玻璃打磨,52,786,2024-02-04,华南,40872
ORD1036,CUST181,玻璃打磨,7,513,2024-09-10,东北,3591
ORD1074,CUST179,玻璃打磨,3,742,2024-12-28,华北,2226
ORD1000,CUST179,玻璃雕刻,8,118,2024-02-14,华北,944
ORD1001,CUST146,玻璃切割,52,830,2024-09-21,东北,43160
ORD1045,CUST140,玻璃切割,23,678,2024-12-11,东北,15594
ORD1021,CUST108,玻璃切割,74,234,2024-08-25,华北,17316
ORD1093,CUST195,玻璃雕刻,45,981,2024-12-26,华南,44145
ORD1033,CUST168,玻璃切割,67,987,2024-05-05,华东,66129
ORD1045,CUST184,玻璃抛光,20,315,2024-04-20,西南,6300
ORD1025,CUST173,玻璃雕刻,68,462,2024-01-23,华南,31416
ORD1046,CUST111,玻璃切割,85,527,2024-01-02,华南,44795
ORD1071,CUST170,玻璃切割,45,204,2024-10-30,华南,9180
ORD1095,CUST183,玻璃打磨,4,416,2024-11-11,华南,1664
ORD1072,CUST120,玻璃雕刻,5,263,2024-10-29,东北,1315
ORD1095,CUST147,玻璃打磨,96,826,2024-01-20,东北,79296
ORD1052,CUST167,玻璃抛光,51,770,2024-12-11,东北,39270
ORD1047,CUST120,玻璃抛光,20,664,2024-07-09,华北,13280
ORD1026,CUST128,玻璃切割,86,322,2024-06-02,华北,27692
ORD1001,CUST183,玻璃打磨,8,869,2024-04-07,华南,6952
ORD1075,CUST129,玻璃雕刻,12,978,2024-03-21,西南,11736
ORD1056,CUST136,玻璃打磨,9,498,2024-01-13,东北,4482
ORD1012,CUST164,玻璃打磨,80,771,2024-04-24,西南,61680
ORD1036,CUST195,玻璃雕刻,60,523,2024-05-19,华南,31380
ORD1064,CUST187,玻璃切割,16,792,2024-07-30,华南,12672
ORD1046,CUST155,玻璃抛光,1,228,2024-03-21,华北,228
ORD1058,CUST184,玻璃打磨,95,861,2024-10-12,西南,81795
ORD1089,CUST194,玻璃打磨,41,722,2024-09-24,东北,29602
ORD1005,CUST143,玻璃抛光,67,498,2024-02-21,西南,33366
ORD1041,CUST150,玻璃切割,83,919,2024-01-08,东北,76277
ORD1065,CUST108,玻璃抛光,87,743,2024-03-04,西南,64641
ORD1043,CUST162,玻璃抛光,77,122,2024-12-01,西南,9394
ORD1019,CUST158,玻璃雕刻,44,529,2024-09-27,华东,23276
ORD1064,CUST141,玻璃雕刻,13,447,2024-08-02,华北,5811
ORD1027,CUST123,玻璃雕刻,85,846,2024-09-13,华东,71910
ORD1021,CUST122,玻璃雕刻,33,508,2024-09-12,东北,16764
ORD1029,CUST186,玻璃抛光,94,673,2024-06-17,东北,63262
ORD1056,CUST119,玻璃抛光,16,969,2024-09-29,华南,15504
ORD1013,CUST164,玻璃抛光,31,184,2024-07-06,华东,5704
ORD1040,CUST161,玻璃打磨,61,981,2024-09-23,西南,59841
ORD1098,CUST129,玻璃抛光,1,731,2024-08-17,华南,731
ORD1024,CUST171,玻璃打磨,59,355,2024-09-06,西南,20945
ORD1028,CUST193,玻璃切割,22,296,2024-04-17,华东,6512
ORD1095,CUST164,玻璃抛光,44,215,2024-05-25,华北,9460
ORD1036,CUST165,玻璃打磨,85,762,2024-11-20,华南,64770
ORD1070,CUST197,玻璃切割,81,591,2024-08-25,华南,47871
ORD1085,CUST172,玻璃雕刻,22,584,2024-11-02,东北,12848
ORD1006,CUST184,玻璃雕刻,24,597,2024-04-24,东北,14328
ORD1056,CUST109,玻璃雕刻,2,585,2024-04-03,西南,1170
ORD1001,CUST136,玻璃切割,15,925,2024-12-22,华北,13875
ORD1035,CUST144,玻璃抛光,46,417,2024-04-21,东北,19182
ORD1038,CUST194,玻璃抛光,64,539,2024-01-08,东北,34496
ORD1076,CUST134,玻璃抛光,82,494,2024-02-24,华南,40508
ORD1033,CUST109,玻璃雕刻,74,590,2024-09-08,华南,43660
ORD1044,CUST169,玻璃雕刻,1,723,2024-05-19,东北,723
ORD1099,CUST171,玻璃雕刻,96,548,2024-12-02,东北,52608
ORD1089,CUST152,玻璃切割,65,898,2024-05-24,东北,58370
ORD1082,CUST164,玻璃打磨,10,158,2024-03-31,西南,1580
ORD1079,CUST152,玻璃打磨,44,268,2024-05-16,东北,11792
ORD1018,CUST161,玻璃雕刻,79,589,2024-09-09,华南,46531
ORD1010,CUST123,玻璃抛光,34,524,2024-07-26,西南,17816
ORD1000,CUST125,玻璃切割,57,992,2024-11-01,华北,56544
ORD1013,CUST125,玻璃雕刻,64,694,2024-10-30,西南,44416
ORD1004,CUST173,玻璃雕刻,19,456,2024-05-08,华南,8664
ORD1016,CUST127,玻璃雕刻,69,692,2024-03-25,东北,47748
ORD1082,CUST106,玻璃打磨,68,181,2024-05-01,华南,12308
ORD1096,CUST128,玻璃雕刻,14,273,2024-06-08,东北,3822
ORD1087,CUST199,玻璃抛光,81,801,2024-04-27,华南,64881
ORD1094,CUST158,玻璃抛光,27,650,2024-11-26,华北,17550
ORD1065,CUST195,玻璃抛光,22,660,2024-03-27,东北,14520
ORD1073,CUST117,玻璃抛光,94,819,2024-01-02,西南,76986
ORD1008,CUST110,玻璃雕刻,85,867,2024-01-10,华东,73695
ORD1043,CUST151,玻璃打磨,19,241,2024-12-06,东北,4579
ORD1032,CUST174,玻璃雕刻,4,345,2024-05-16,华东,1380
ORD1015,CUST119,玻璃切割,78,588,2024-07-04,西南,45864
ORD1002,CUST109,玻璃雕刻,26,277,2024-01-31,西南,7202
ORD1017,CUST181,玻璃打磨,36,303,2024-08-02,西南,10908
ORD1026,CUST168,玻璃打磨,93,797,2024-03-27,华南,74121
ORD1025,CUST108,玻璃雕刻,2,390,2024-12-09,华北,780
ORD1094,CUST103,玻璃抛光,54,258,2024-12-02,西南,13932
ORD1029,CUST170,玻璃抛光,61,271,2024-04-21,东北,16531
ORD1095,CUST109,玻璃抛光,72,792,2024-07-24,东北,57024
ORD1065,CUST123,玻璃切割,25,637,2024-03-04,华南,15925
ORD1067,CUST110,玻璃打磨,7,288,2024-07-13,西南,2016
ORD1055,CUST178,玻璃打磨,32,892,2024-04-26,东北,28544
ORD1054,CUST179,玻璃雕刻,70,888,2024-12-12,东北,62160
ORD1064,CUST138,玻璃雕刻,92,311,2024-07-29,东北,28612
ORD1074,CUST123,玻璃雕刻,42,875,2024-02-17,华南,36750
ORD1091,CUST173,玻璃雕刻,16,285,2024-05-23,华东,4560
ORD1054,CUST155,玻璃雕刻,25,223,2024-02-10,华南,5575
ORD1081,CUST196,玻璃抛光,11,335,2024-10-29,西南,3685
ORD1085,CUST190,玻璃雕刻,61,896,2024-08-29,西南,54656
ORD1040,CUST194,玻璃雕刻,18,266,2024-06-01,西南,4788
ORD1055,CUST102,玻璃雕刻,61,663,2024-04-23,西南,40443
ORD1084,CUST125,玻璃切割,69,136,2024-08-03,华南,9384
ORD1046,CUST142,玻璃雕刻,83,183,2024-11-28,西南,15189
ORD1087,CUST155,玻璃雕刻,84,799,2024-06-18,东北,67116
ORD1078,CUST111,玻璃抛光,83,127,2024-03-29,东北,10541
ORD1017,CUST148,玻璃抛光,87,605,2024-05-19,华北,52635
ORD1049,CUST145,玻璃雕刻,89,598,2024-09-18,东北,53222
ORD1089,CUST163,玻璃切割,80,960,2024-05-23,华东,76800
ORD1064,CUST170,玻璃打磨,31,189,2024-08-06,东北,5859
ORD1034,CUST113,玻璃打磨,29,724,2024-02-17,华北,20996
ORD1007,CUST140,玻璃雕刻,41,299,2024-03-29,华东,12259
ORD1049,CUST168,玻璃打磨,13,494,2024-03-22,华南,6422
ORD1040,CUST161,玻璃切割,12,418,2024-03-03,东北,5016
ORD1012,CUST104,玻璃切割,38,393,2024-07-23,华北,14934
ORD1025,CUST112,玻璃抛光,99,211,2024-04-30,东北,20889
ORD1078,CUST163,玻璃抛光,60,542,2025-01-01,西南,32520
ORD1003,CUST133,玻璃抛光,11,578,2024-11-07,西南,6358
ORD1056,CUST193,玻璃抛光,27,782,2024-02-28,华南,21114
ORD1074,CUST133,玻璃切割,93,540,2024-08-30,华东,50220
ORD1077,CUST126,玻璃雕刻,75,272,2024-09-10,西南,20400
ORD1050,CUST105,玻璃抛光,66,349,2024-01-31,西南,23034
ORD1059,CUST145,玻璃雕刻,64,480,2024-02-18,华东,30720
ORD1090,CUST153,玻璃雕刻,37,379,2024-07-20,西南,14023
ORD1021,CUST167,玻璃抛光,76,795,2024-03-29,华北,60420
ORD1018,CUST170,玻璃打磨,40,609,2024-07-15,西南,24360
ORD1005,CUST154,玻璃雕刻,88,874,2024-05-12,东北,76912
ORD1026,CUST154,玻璃打磨,61,201,2024-04-20,华南,12261
ORD1009,CUST191,玻璃雕刻,71,611,2024-09-02,华南,43381
ORD1064,CUST132,玻璃打磨,79,252,2024-07-30,华南,19908
ORD1065,CUST111,玻璃抛光,83,835,2024-01-13,东北,69305
ORD1051,CUST139,玻璃雕刻,84,294,2024-04-21,华东,24696
ORD1012,CUST108,玻璃雕刻,54,382,2024-09-29,华南,20628
ORD1030,CUST171,玻璃抛光,31,933,2024-08-19,华北,28923
ORD1027,CUST127,玻璃雕刻,72,502,2024-04-19,西南,36144
ORD1005,CUST134,玻璃切割,59,540,2024-09-22,华南,31860
ORD1012,CUST184,玻璃雕刻,8,502,2024-04-29,华南,4016
ORD1057,CUST122,玻璃雕刻,80,810,2024-10-19,华北,64800
ORD1098,CUST101,玻璃抛光,26,448,2024-03-25,东北,11648
ORD1051,CUST124,玻璃切割,96,161,2024-10-06,东北,15456
ORD1024,CUST101,玻璃抛光,17,958,2024-11-03,东北,16286
ORD1077,CUST116,玻璃雕刻,83,895,2024-07-20,华南,74285
ORD1065,CUST195,玻璃切割,62,704,2024-11-15,华北,43648
ORD1078,CUST189,玻璃切割,65,987,2024-10-02,西南,64155
ORD1056,CUST177,玻璃切割,21,353,2024-04-30,西南,7413
ORD1077,CUST191,玻璃打磨,20,516,2024-03-29,华东,10320
ORD1040,CUST104,玻璃打磨,26,355,2024-09-14,华南,9230
ORD1086,CUST150,玻璃雕刻,22,340,2024-06-01,东北,7480
ORD1085,CUST147,玻璃打磨,57,914,2024-12-27,华东,52098
ORD1074,CUST148,玻璃雕刻,40,691,2024-05-11,西南,27640
ORD1044,CUST146,玻璃打磨,93,909,2024-10-12,华东,84537
ORD1022,CUST183,玻璃雕刻,43,724,2024-03-05,华南,31132
ORD1028,CUST112,玻璃雕刻,72,362,2024-08-11,华东,26064
ORD1061,CUST193,玻璃雕刻,55,863,2024-05-08,华南,47465
ORD1098,CUST145,玻璃抛光,74,559,2024-09-07,华东,41366
ORD1042,CUST121,玻璃抛光,19,328,2024-12-02,华北,6232
ORD1096,CUST178,玻璃打磨,43,203,2024-02-09,华北,8729
ORD1010,CUST167,玻璃打磨,49,451,2024-10-13,华南,22099
ORD1015,CUST177,玻璃雕刻,28,234,2024-01-06,华东,6552
ORD1091,CUST173,玻璃切割,99,818,2024-05-20,西南,80982
ORD1014,CUST141,玻璃抛光,57,180,2024-11-01,华东,10260
ORD1044,CUST180,玻璃雕刻,45,929,2024-01-28,西南,41805
ORD1074,CUST122,玻璃雕刻,53,594,2024-03-06,华北,31482
ORD1039,CUST193,玻璃切割,10,257,2024-05-05,华东,2570
ORD1074,CUST173,玻璃雕刻,39,732,2024-05-15,华北,28548
ORD1055,CUST147,玻璃雕刻,28,293,2024-08-22,华北,8204
ORD1016,CUST101,玻璃打磨,12,798,2024-08-12,华北,9576
ORD1056,CUST197,玻璃雕刻,26,829,2024-09-14,华东,21554
ORD1091,CUST178,玻璃打磨,54,199,2024-01-01,华东,10746
ORD1076,CUST130,玻璃雕刻,56,748,2024-04-04,西南,41888
ORD1099,CUST196,玻璃切割,97,664,2024-04-03,东北,64408
ORD1056,CUST170,玻璃打磨,17,888,2024-10-10,华北,15096
ORD1071,CUST154,玻璃切割,24,135,2024-07-01,华东,3240
ORD1011,CUST152,玻璃打磨,44,437,2024-10-30,华南,19228
ORD1012,CUST152,玻璃雕刻,84,653,2024-08-06,西南,54852
ORD1084,CUST164,玻璃雕刻,6,466,2024-05-02,华东,2796
ORD1041,CUST185,玻璃打磨,53,642,2024-12-18,华南,34026
ORD1021,CUST101,玻璃抛光,78,217,2024-03-08,西南,16926
ORD1048,CUST124,玻璃切割,19,595,2024-03-25,东北,11305
ORD1039,CUST129,玻璃雕刻,83,226,2024-12-07,华东,18758
ORD1037,CUST111,玻璃切割,54,525,2024-07-05,东北,28350
ORD1072,CUST186,玻璃切割,97,304,2024-12-05,西南,29488
ORD1096,CUST151,玻璃打磨,72,122,2024-05-03,华北,8784
ORD1094,CUST106,玻璃打磨,62,990,2024-03-22,华东,61380
ORD1053,CUST191,玻璃雕刻,100,207,2024-05-26,东北,20700
ORD1025,CUST168,玻璃雕刻,46,415,2024-04-21,华东,19090
ORD1099,CUST175,玻璃切割,22,355,2024-12-11,华南,7810
ORD1013,CUST104,玻璃雕刻,18,272,2024-08-22,华南,4896
ORD1067,CUST126,玻璃雕刻,87,767,2024-10-18,西南,66729
ORD1092,CUST185,玻璃切割,43,787,2024-10-20,东北,33841
ORD1093,CUST146,玻璃切割,95,152,2024-04-20,西南,14440
ORD1030,CUST147,玻璃切割,16,134,2024-12-23,西南,2144
ORD1050,CUST158,玻璃雕刻,75,889,2024-01-22,东北,66675
ORD1089,CUST159,玻璃打磨,61,313,2024-07-09,华东,19093
ORD1000,CUST166,玻璃打磨,68,554,2024-03-22,西南,37672
ORD1018,CUST184,玻璃抛光,97,561,2024-01-02,华北,54417
ORD1098,CUST158,玻璃雕刻,8,563,2024-05-23,华南,4504
ORD1041,CUST189,玻璃打磨,38,244,2024-09-24,华北,9272
ORD1087,CUST166,玻璃打磨,76,168,2024-07-19,华北,12768
ORD1061,CUST129,玻璃切割,77,416,2024-01-19,东北,32032
ORD1055,CUST151,玻璃打磨,55,573,2024-02-10,东北,31515
ORD1058,CUST163,玻璃雕刻,24,259,2024-05-09,华东,6216
ORD1063,CUST118,玻璃切割,28,905,2024-12-09,华南,25340
ORD1012,CUST140,玻璃打磨,34,291,2024-04-02,东北,9894
ORD1049,CUST114,玻璃雕刻,47,275,2024-02-05,华北,12925
ORD1086,CUST197,玻璃雕刻,45,840,2024-04-02,华东,37800
ORD1003,CUST170,玻璃雕刻,13,321,2024-12-01,西南,4173
ORD1089,CUST195,玻璃切割,49,764,2024-06-12,华北,37436
ORD1003,CUST176,玻璃雕刻,3,713,2024-03-07,华东,2139
ORD1072,CUST131,玻璃切割,10,954,2024-11-07,西南,9540
ORD1040,CUST132,玻璃雕刻,9,480,2024-12-14,东北,4320
ORD1066,CUST188,玻璃抛光,65,488,2024-04-22,东北,31720
ORD1052,CUST126,玻璃切割,87,130,2024-08-23,华南,11310
ORD1071,CUST135,玻璃雕刻,57,301,2024-04-17,华南,17157
ORD1071,CUST193,玻璃抛光,96,312,2024-06-17,华南,29952
ORD1038,CUST177,玻璃打磨,18,386,2024-09-11,东北,6948
ORD1096,CUST115,玻璃打磨,32,148,2024-01-12,华南,4736
ORD1086,CUST175,玻璃雕刻,81,362,2024-11-02,华北,29322
ORD1020,CUST117,玻璃雕刻,51,765,2024-06-11,华东,39015
ORD1053,CUST127,玻璃抛光,43,892,2024-12-12,华北,38356
ORD1031,CUST189,玻璃雕刻,60,197,2024-04-24,东北,11820
ORD1012,CUST196,玻璃雕刻,41,380,2024-05-11,西南,15580
ORD1054,CUST167,玻璃打磨,33,802,2024-11-25,华南,26466
ORD1055,CUST180,玻璃雕刻,1,421,2024-12-06,华北,421
ORD1072,CUST154,玻璃打磨,22,777,2024-07-22,西南,17094
ORD1097,CUST192,玻璃雕刻,45,557,2024-10-12,华东,25065
ORD1099,CUST186,玻璃切割,66,936,2024-12-26,东北,61776
ORD1091,CUST110,玻璃抛光,87,849,2024-05-03,华东,73863
ORD1059,CUST105,玻璃雕刻,46,814,2024-11-21,西南,37444
ORD1087,CUST186,玻璃雕刻,7,699,2024-09-29,东北,4893
ORD1041,CUST128,玻璃抛光,33,707,2024-09-01,华南,23331
ORD1042,CUST136,玻璃雕刻,39,223,2024-04-13,华东,8697
ORD1065,CUST169,玻璃雕刻,98,484,2024-06-27,东北,47432
ORD1014,CUST185,玻璃抛光,83,552,2024-03-05,西南,45816
ORD1043,CUST158,玻璃抛光,12,467,2024-07-24,华东,5604
ORD1044,CUST180,玻璃雕刻,24,540,2024-08-18,华北,12960
ORD1014,CUST146,玻璃雕刻,17,203,2024-01-21,华北,3451
ORD1085,CUST179,玻璃雕刻,27,485,2024-10-11,华南,13095
ORD1082,CUST124,玻璃雕刻,98,664,2024-01-19,华北,65072
ORD1042,CUST155,玻璃打磨,37,253,2024-02-13,华南,9361
ORD1049,CUST125,玻璃雕刻,62,959,2024-04-14,东北,59458
ORD1019,CUST141,玻璃打磨,14,888,2024-08-23,华南,12432
ORD1076,CUST144,玻璃打磨,43,836,2024-02-01,华北,35948
ORD1098,CUST196,玻璃切割,36,857,2024-06-29,华南,30852
ORD1039,CUST179,玻璃雕刻,13,331,2024-10-29,华北,4303
ORD1026,CUST170,玻璃抛光,22,505,2024-08-04,东北,11110
ORD1088,CUST183,玻璃雕刻,79,791,2024-11-02,东北,62489
ORD1085,CUST149,玻璃切割,97,886,2024-06-20,华东,85942
ORD1002,CUST197,玻璃打磨,73,217,2024-03-13,西南,15841
ORD1008,CUST101,玻璃抛光,98,436,2024-07-18,西南,42728
ORD1019,CUST101,玻璃雕刻,91,186,2024-05-23,华南,16926
ORD1038,CUST173,玻璃雕刻,60,167,2024-06-07,华南,10020
ORD1010,CUST171,玻璃抛光,11,152,2024-12-12,华东,1672
ORD1067,CUST124,玻璃打磨,37,150,2024-01-22,华东,5550
ORD1009,CUST128,玻璃雕刻,69,208,2024-04-25,华北,14352
ORD1063,CUST147,玻璃打磨,60,852,2024-02-08,华东,51120
ORD1087,CUST172,玻璃雕刻,28,174,2024-05-03,华东,4872
ORD1004,CUST124,玻璃切割,90,694,2024-03-31,西南,62460
ORD1051,CUST105,玻璃抛光,79,456,2024-11-10,华北,36024
ORD1098,CUST160,玻璃雕刻,51,404,2024-11-01,西南,20604
ORD1065,CUST148,玻璃雕刻,56,658,2024-01-24,华北,36848
ORD1028,CUST197,玻璃雕刻,38,807,2024-03-19,东北,30666
ORD1017,CUST163,玻璃雕刻,82,817,2024-10-11,华南,66994
ORD1043,CUST118,玻璃抛光,78,512,2024-03-27,东北,39936
ORD1046,CUST139,玻璃抛光,100,939,2024-09-16,西南,93900
ORD1008,CUST198,玻璃切割,91,965,2024-08-06,华南,87815
ORD1092,CUST191,玻璃打磨,96,191,2024-12-18,西南,18336
ORD1084,CUST127,玻璃抛光,83,739,2024-03-11,东北,61337
ORD1041,CUST198,玻璃打磨,25,313,2024-07-27,华东,7825
ORD1053,CUST120,玻璃雕刻,99,194,2024-09-10,西南,19206
ORD1011,CUST143,玻璃打磨,83,583,2024-09-21,华北,48389
ORD1091,CUST169,玻璃雕刻,31,659,2024-01-01,东北,20429
ORD1064,CUST109,玻璃雕刻,6,525,2024-05-18,西南,3150
ORD1017,CUST170,玻璃打磨,73,421,2024-05-16,华东,30733
ORD1077,CUST140,玻璃打磨,32,276,2024-11-17,西南,8832
ORD1079,CUST192,玻璃雕刻,81,460,2024-09-15,东北,37260
ORD1096,CUST163,玻璃打磨,2,911,2024-11-24,华东,1822
ORD1035,CUST110,玻璃抛光,93,265,2024-12-22,东北,24645
ORD1085,CUST153,玻璃雕刻,56,984,2024-01-30,华南,55104
ORD1077,CUST109,玻璃雕刻,70,856,2024-09-28,华北,59920
ORD1087,CUST131,玻璃雕刻,99,502,2024-08-22,华北,49698
ORD1096,CUST159,玻璃打磨,80,882,2024-09-04,华北,70560
ORD1092,CUST131,玻璃切割,45,571,2024-06-10,华东,25695
ORD1022,CUST198,玻璃打磨,69,226,2024-03-25,华东,15594
ORD1053,CUST101,玻璃切割,22,980,2024-12-29,华北,21560
ORD1081,CUST191,玻璃雕刻,50,451,2024-08-25,西南,22550
ORD1054,CUST196,玻璃抛光,9,330,2024-10-05,华北,2970
ORD1010,CUST111,玻璃雕刻,16,153,2024-09-24,华南,2448
ORD1017,CUST189,玻璃雕刻,5,362,2024-06-11,东北,1810
ORD1091,CUST197,玻璃抛光,56,710,2024-10-15,华东,39760
ORD1018,CUST103,玻璃打磨,83,320,2024-05-19,西南,26560
ORD1060,CUST130,玻璃雕刻,96,911,2024-02-24,华北,87456
ORD1007,CUST185,玻璃抛光,34,206,2024-11-21,东北,7004
ORD1075,CUST145,玻璃雕刻,42,826,2024-03-24,华北,34692
ORD1027,CUST190,玻璃切割,73,528,2024-07-29,东北,38544
ORD1026,CUST108,玻璃抛光,24,782,2024-07-18,东北,18768
ORD1070,CUST143,玻璃雕刻,100,806,2024-01-09,华东,80600
ORD1035,CUST160,玻璃打磨,93,505,2024-11-29,华北,46965
ORD1013,CUST146,玻璃雕刻,30,145,2024-04-07,华北,4350
ORD1061,CUST180,玻璃雕刻,2,801,2024-12-17,华东,1602
ORD1060,CUST130,玻璃抛光,40,218,2024-06-13,华东,8720
ORD1085,CUST180,玻璃雕刻,17,510,2024-06-01,华南,8670
ORD1022,CUST107,玻璃雕刻,39,124,2024-12-15,华北,4836
ORD1071,CUST169,玻璃打磨,60,395,2024-02-10,东北,23700
ORD1023,CUST124,玻璃雕刻,5,443,2024-04-29,华北,2215
